algorithm,n_qubits,compiler,compilation_time_s
Ising,10,ZAP,0.609
Ising,50,ZAP,0.6797
Ising,100,ZAP,1.2582
Ising,200,ZAP,3.4513
Ising,300,ZAP,9.5777
Ising,400,ZAP,18.58
Ising,500,ZAP,30.405
Cat,10,ZAP,0.504
Cat,50,ZAP,0.9142
Cat,100,ZAP,4.7008
Cat,200,ZAP,48.61170816421509
Adder,10,ZAP,0.5018
Adder,28,ZAP,0.8739
Adder,46,ZAP,2.0999
Adder,64,ZAP,5.7552
Adder,91,ZAP,15.7618
Adder,118,ZAP,37.0483
Adder,136,ZAP,61.3986
QFT,10,ZAP,0.617
QFT,50,ZAP,3.339
QFT,100,ZAP,23.692
QFT,150,ZAP,315.746
QFT,200,ZAP,1212.120
